03. 16:44:58, batch 171,  convothello.ckpt wr: 0.53, nvothello/drill_41.ckpt wr: 0.45
03. 16:46:03, batch 172,  convothello.ckpt wr: 0.49, nvothello/drill_138.ckpt wr: 0.49
03. 16:47:11, batch 173,  convothello.ckpt wr: 0.52, nvothello/drill_150.ckpt wr: 0.45
03. 16:48:22, batch 174,  convothello.ckpt wr: 0.48, nvothello/drill_116.ckpt wr: 0.47
03. 16:49:28, batch 175,  convothello.ckpt wr: 0.47, nvothello/drill_28.ckpt wr: 0.51
03. 16:50:35, batch 176,  convothello.ckpt wr: 0.55, nvothello/drill_174.ckpt wr: 0.44
03. 16:51:42, batch 177,  convothello.ckpt wr: 0.46, nvothello/drill_27.ckpt wr: 0.52
03. 16:52:51, batch 178,  convothello.ckpt wr: 0.53, nvothello/drill_27.ckpt wr: 0.43
03. 16:53:55, batch 179,  convothello.ckpt wr: 0.53, nvothello/drill_120.ckpt wr: 0.44
03. 16:55:02, batch 180,  convothello.ckpt wr: 0.51, nvothello/drill_111.ckpt wr: 0.45
03. 16:56:10, batch 181,  convothello.ckpt wr: 0.48, nvothello/drill_14.ckpt wr: 0.48
03. 16:57:16, batch 182,  convothello.ckpt wr: 0.50, nvothello/drill_73.ckpt wr: 0.48
03. 16:58:25, batch 183,  convothello.ckpt wr: 0.53, nvothello/drill_44.ckpt wr: 0.43
03. 16:59:36, batch 184,  convothello.ckpt wr: 0.57, nvothello/drill_17.ckpt wr: 0.41
03. 17:00:45, batch 185,  convothello.ckpt wr: 0.54, nvothello/drill_77.ckpt wr: 0.43
03. 17:01:53, batch 186,  convothello.ckpt wr: 0.54, nvothello/drill_5.ckpt wr: 0.41
03. 17:03:00, batch 187,  convothello.ckpt wr: 0.57, nvothello/drill_81.ckpt wr: 0.41
03. 17:04:06, batch 188,  convothello.ckpt wr: 0.35, nvothello/drill_139.ckpt wr: 0.62
03. 17:05:16, batch 189,  convothello.ckpt wr: 0.51, nvothello/drill_93.ckpt wr: 0.44
03. 17:06:26, batch 190,  convothello.ckpt wr: 0.54, nvothello/drill_41.ckpt wr: 0.43
03. 17:07:35, batch 191,  convothello.ckpt wr: 0.44, nvothello/drill_158.ckpt wr: 0.53
03. 17:08:45, batch 192,  convothello.ckpt wr: 0.54, nvothello/drill_137.ckpt wr: 0.43
03. 17:09:53, batch 193,  convothello.ckpt wr: 0.52, nvothello/drill_5.ckpt wr: 0.45
03. 17:11:03, batch 194,  convothello.ckpt wr: 0.55, nvothello/drill_56.ckpt wr: 0.45
03. 17:12:13, batch 195,  convothello.ckpt wr: 0.52, nvothello/drill_158.ckpt wr: 0.43
03. 17:13:18, batch 196,  convothello.ckpt wr: 0.59, nvothello/drill_6.ckpt wr: 0.37
03. 17:14:30, batch 197,  convothello.ckpt wr: 0.47, nvothello/drill_137.ckpt wr: 0.50
03. 17:15:40, batch 198,  convothello.ckpt wr: 0.52, nvothello/drill_142.ckpt wr: 0.45
03. 17:16:50, batch 199,  convothello.ckpt wr: 0.44, nvothello/drill_157.ckpt wr: 0.51
03. 17:17:58, batch 200,  convothello.ckpt wr: 0.49, nvothello/drill_94.ckpt wr: 0.49
03. 17:19:05, batch 201,  convothello.ckpt wr: 0.59,  wr: 0.37
03. 17:20:14, batch 202,  convothello.ckpt wr: 0.54, nvothello/drill_143.ckpt wr: 0.45
03. 17:21:27, batch 203,  convothello.ckpt wr: 0.50, nvothello/drill_89.ckpt wr: 0.45
03. 17:22:34, batch 204,  convothello.ckpt wr: 0.53, nvothello/drill_38.ckpt wr: 0.44
03. 17:23:42, batch 205,  convothello.ckpt wr: 0.55, nvothello/drill_132.ckpt wr: 0.42
03. 17:24:50, batch 206,  convothello.ckpt wr: 0.52, nvothello/drill_43.ckpt wr: 0.46
03. 17:26:00, batch 207,  convothello.ckpt wr: 0.47, nvothello/drill_182.ckpt wr: 0.52
03. 17:27:11, batch 208,  convothello.ckpt wr: 0.52, nvothello/drill_140.ckpt wr: 0.44
03. 17:28:16, batch 209,  convothello.ckpt wr: 0.52, nvothello/drill_166.ckpt wr: 0.46
03. 17:29:26, batch 210,  convothello.ckpt wr: 0.47, nvothello/drill_164.ckpt wr: 0.50
03. 17:30:34, batch 211,  convothello.ckpt wr: 0.48, nvothello/drill_180.ckpt wr: 0.49
