01. Mar 08:55:53, Step 44000: 0.571354166667 1.84991035461
01. Mar 08:58:06, Step 48000: 0.56484375 2.09732793172
01. Mar 09:00:17, Step 52000: 0.570572916667 1.84738616943
01. Mar 09:02:26, Step 56000: 0.562760416667 2.11264279683
01. Mar 09:04:42, Step 60000: 0.570572916667 1.85688120524
01. Mar 09:06:52, Step 64000: 0.574739583333 1.84195378621
01. Mar 09:09:04, Step 68000: 0.571354166667 1.87671788534
01. Mar 09:12:03, Step 0: 0.568098958333 1.86971083776
01. Mar 09:13:15, Step 20: 0.567317708333 1.86474494874
01. Mar 09:19:11, Step 12000: 0.578385416667 1.83689001738
01. Mar 09:25:05, Step 24000: 0.576953125 1.87313962045
01. Mar 09:30:54, Step 36000: 0.583854166667 1.83153737095
01. Mar 09:36:43, Step 48000: 0.576692708333 1.87787701725
01. Mar 09:42:34, Step 60000: 0.579296875 1.83344851241
01. Mar 09:48:29, Step 72000: 0.582291666667 1.8275250171
01. Mar 09:54:16, Step 84000: 0.581770833333 1.82264080515
01. Mar 10:00:09, Step 96000: 0.573828125 1.83999323683
01. Mar 10:06:08, Step 108000: 0.578645833333 1.86652008899
01. Mar 10:11:00, Step 0: 0.577604166667 1.82790007002
01. Mar 10:12:05, Step 20: 0.577864583333 1.8272720981
01. Mar 10:18:05, Step 12000: 0.583723958333 1.82260391052
01. Mar 10:23:58, Step 24000: 0.578255208333 1.84168161111
01. Mar 10:29:37, Step 36000: 0.578125 1.82421111663
01. Mar 10:35:23, Step 48000: 0.577994791667 1.87598966645
01. Mar 10:41:07, Step 60000: 0.583203125 1.82844471099
01. Mar 10:46:58, Step 72000: 0.585677083333 1.81924166538
01. Mar 10:52:43, Step 84000: 0.583333333333 1.82083576753
01. Mar 10:58:30, Step 96000: 0.568489583333 1.84097132601
01. Mar 11:04:25, Step 108000: 0.57890625 1.83889352263
01. Mar 11:09:13, Step 0: 0.579817708333 1.82669119862
01. Mar 11:10:15, Step 20: 0.580859375 1.82434940785
01. Mar 11:54:30, Step 0: 0.580989583333 1.82437930522
01. Mar 11:55:44, Step 20: 0.579036458333 1.82489404882
01. Mar 12:00:59, Step 12000: 0.58125 1.82926936942
01. Mar 12:05:51, Step 24000: 0.579036458333 1.83151879641
01. Mar 12:10:14, Step 36000: 0.584765625 1.82551591405
01. Mar 12:14:46, Step 48000: 0.576041666667 1.87371352267
01. Mar 12:19:12, Step 60000: 0.577604166667 1.82628294054
01. Mar 12:23:34, Step 72000: 0.583072916667 1.82079416566
01. Mar 12:27:42, Step 84000: 0.57578125 1.82831481647
01. Mar 12:32:08, Step 96000: 0.568880208333 1.83720336723
01. Mar 12:36:16, Step 108000: 0.577734375 1.86393428482
01. Mar 12:39:54, Step 0: 0.585807291667 1.82017204599
01. Mar 12:40:59, Step 20: 0.584505208333 1.81948835046
