01. 16:25:50, batch 255,  layers8filters64.ckpt wr: 0.50, drill_166.ckpt wr: 0.45
01. 16:26:59, batch 256,  layers8filters64.ckpt wr: 0.55, drill_52.ckpt wr: 0.43
01. 16:28:09, batch 257,  layers8filters64.ckpt wr: 0.49, drill_25.ckpt wr: 0.47
01. 16:29:13, batch 258,  layers8filters64.ckpt wr: 0.45, drill_55.ckpt wr: 0.49
01. 16:30:23, batch 259,  layers8filters64.ckpt wr: 0.54, drill_32.ckpt wr: 0.45
01. 16:31:34, batch 260,  layers8filters64.ckpt wr: 0.48, drill_165.ckpt wr: 0.50
01. 16:32:48, batch 261,  layers8filters64.ckpt wr: 0.45, drill_125.ckpt wr: 0.52
01. 16:34:00, batch 262,  layers8filters64.ckpt wr: 0.59, drill_26.ckpt wr: 0.38
01. 16:35:14, batch 263,  layers8filters64.ckpt wr: 0.52, drill_227.ckpt wr: 0.46
01. 16:36:20, batch 264,  layers8filters64.ckpt wr: 0.44, drill_176.ckpt wr: 0.52
01. 16:37:25, batch 265,  layers8filters64.ckpt wr: 0.55, drill_15.ckpt wr: 0.38
01. 16:38:39, batch 266,  layers8filters64.ckpt wr: 0.56, drill_14.ckpt wr: 0.41
01. 16:39:56, batch 267,  layers8filters64.ckpt wr: 0.53, drill_125.ckpt wr: 0.43
01. 16:41:12, batch 268,  layers8filters64.ckpt wr: 0.55, drill_112.ckpt wr: 0.44
01. 16:42:26, batch 269,  layers8filters64.ckpt wr: 0.46, drill_262.ckpt wr: 0.51
01. 16:43:39, batch 270,  layers8filters64.ckpt wr: 0.47, drill_184.ckpt wr: 0.52
01. 16:44:54, batch 271,  layers8filters64.ckpt wr: 0.47, drill_61.ckpt wr: 0.46
01. 16:46:08, batch 272,  layers8filters64.ckpt wr: 0.45, drill_196.ckpt wr: 0.51
01. 16:47:23, batch 273,  layers8filters64.ckpt wr: 0.52, drill_121.ckpt wr: 0.45
01. 16:48:38, batch 274,  layers8filters64.ckpt wr: 0.52, drill_98.ckpt wr: 0.44
